,date,close,open,high,low,volume
669,2021-07-09,321795.0,324552.0,324552.0,318880.0,1308364.0
670,2021-07-12,324647.0,322751.0,325145.0,322751.0,1118749.0
671,2021-07-13,327138.0,325324.0,327390.0,325324.0,1132109.0
672,2021-07-14,326481.0,327009.0,327009.0,325045.0,895954.0
673,2021-07-15,328622.0,326933.0,328658.0,326309.0,1154415.0
674,2021-07-16,327691.0,328289.0,328289.0,325932.0,1066507.0
675,2021-07-19,324404.0,325887.0,325887.0,323639.0,1078014.0
676,2021-07-20,323270.0,322324.0,323480.0,321442.0,979670.0
677,2021-07-21,321591.0,325113.0,325225.0,321591.0,990326.0
678,2021-07-22,325021.0,323517.0,325375.0,323517.0,712983.0
679,2021-07-23,325442.0,325344.0,326401.0,324609.0,805048.0
680,2021-07-26,322495.0,326599.0,326599.0,322495.0,826066.0
681,2021-07-27,323253.0,324443.0,325285.0,323075.0,991938.0
682,2021-07-28,323686.0,322606.0,324321.0,321090.0,868602.0
683,2021-07-29,324265.0,324849.0,325226.0,323250.0,694823.0
684,2021-07-30,320232.0,323437.0,323466.0,320232.0,687861.0
685,2021-08-02,322304.0,321842.0,322304.0,319400.0,561003.0
686,2021-08-03,323714.0,322157.0,323714.0,321320.0,653512.0
687,2021-08-04,328038.0,324665.0,328314.0,323755.0,632241.0
688,2021-08-05,327613.0,328325.0,329617.0,327333.0,680941.0
689,2021-08-06,327036.0,327706.0,328817.0,326193.0,941361.0
690,2021-08-09,326042.0,325810.0,327515.0,325174.0,707654.0
691,2021-08-10,324319.0,327244.0,327244.0,323246.0,730349.0
692,2021-08-11,322062.0,323536.0,325021.0,321765.0,618092.0
693,2021-08-12,320838.0,321358.0,322959.0,320211.0,643282.0
694,2021-08-13,317129.0,320575.0,320972.0,314676.0,696468.0
695,2021-08-17,314309.0,316974.0,317949.0,313448.0,690842.0
696,2021-08-18,315893.0,314198.0,317588.0,312456.0,622791.0
697,2021-08-19,309783.0,314001.0,315800.0,309783.0,655629.0
698,2021-08-20,306051.0,311110.0,312209.0,304903.0,672088.0
699,2021-08-23,309021.0,308681.0,311181.0,306465.0,570979.0
700,2021-08-24,313830.0,311970.0,314258.0,311523.0,586535.0
